id;tacking_code;date;details;invoice_id
1;Mouse withdrawal;2020-08-30T04:02:44;payment unleash Jamaican Dollar;1
2;Rest;2020-08-30T23:19:14;Plains;2
3;Quality Plastic plum;2020-08-30T03:39:36;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-08-31T00:06:48;Architect SSL;4
5;zero tolerance;2020-08-30T21:03:07;user-facing CSS;5
6;ADP Ouguiya;2020-08-30T16:59:35;Garden;6
7;auxiliary;2020-08-31T01:15:35;functionalities Bedfordshire withdrawal;7
8;Data;2020-08-30T04:13:36;Viaduct hybrid;8
9;mesh;2020-08-31T02:39:15;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-08-31T00:38:09;Re-engineered withdrawal Ball;10
