id;date;details;status;payment_method;payment_date;payment_amount
1;2020-08-16T19:11:20;RAM Focused;PAID;CASH_ON_DELIVERY;2020-08-17T03:33:27;64379
2;2020-08-16T16:01:26;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-08-16T21:11:44;17323
3;2020-08-16T20:28:51;Incredible Baby;CANCELLED;PAYPAL;2020-08-17T00:00:32;11017
4;2020-08-16T17:58:46;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-08-16T18:02:54;51438
5;2020-08-16T12:38:54;function;PAID;PAYPAL;2020-08-17T05:12:59;32278
6;2020-08-16T13:38:42;action-items;CANCELLED;CASH_ON_DELIVERY;2020-08-17T03:25:54;5232
7;2020-08-17T06:25:25;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-08-17T00:02:47;62169
8;2020-08-16T16:20:29;Toys;ISSUED;PAYPAL;2020-08-17T02:58:26;10756
9;2020-08-16T17:50:54;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-08-17T07:34:27;58055
10;2020-08-16T16:28:39;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-08-17T04:54:50;94075
