id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-08-16T11:59:30;payment unleash Jamaican Dollar;1
2;Rest;2020-08-17T07:16:00;Plains;2
3;Quality Plastic plum;2020-08-16T11:36:22;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-08-17T08:03:34;Architect SSL;4
5;zero tolerance;2020-08-17T04:59:53;user-facing CSS;5
6;ADP Ouguiya;2020-08-17T00:56:21;Garden;6
7;auxiliary;2020-08-17T09:12:21;functionalities Bedfordshire withdrawal;7
8;Data;2020-08-16T12:10:22;Viaduct hybrid;8
9;mesh;2020-08-17T10:36:01;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-08-17T08:34:55;Re-engineered withdrawal Ball;10
