id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2020-08-17T03:47:46;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-08-16T15:40:28;75071;1
2;Rhode Island bypassing SQL;2020-08-16T18:35:50;Frozen online streamline;ISSUED;CREDIT_CARD;2020-08-17T10:22:56;68011;2
3;lime program;2020-08-16T13:50:53;parse Horizontal Shirt;ISSUED;PAYPAL;2020-08-16T14:41:26;82892;3
4;Buckinghamshire Director Gloves;2020-08-16T18:21:36;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-08-16T10:56:37;33894;4
5;attitude-oriented;2020-08-16T20:49:44;Integration structure;CANCELLED;PAYPAL;2020-08-16T22:57:14;72584;5
6;Internal Licensed Steel Towels RSS;2020-08-17T03:25:54;Chips;PAID;CREDIT_CARD;2020-08-17T04:21:34;90614;6
7;Toys Cotton;2020-08-16T19:55:15;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-08-16T17:38:39;42722;7
8;Arizona Barbados Dollar;2020-08-17T04:24:57;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-08-17T01:28:25;44406;8
9;Generic Ethiopian Birr Assurance;2020-08-16T16:53:48;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-08-17T00:49:18;93110;9
10;Concrete;2020-08-17T09:37:34;paradigms system;PAID;CREDIT_CARD;2020-08-16T12:03:46;93817;10
