id;placed_date;status;code;customer_id
1;2020-08-30T18:38:34;COMPLETED;Georgia calculate withdrawal;1
2;2020-08-30T05:35:04;COMPLETED;compress Steel out-of-the-box;2
3;2020-08-30T07:06:16;PENDING;Concrete;3
4;2020-08-30T20:32:11;CANCELLED;Investment Account;4
5;2020-08-30T07:49:01;PENDING;United States of America;5
6;2020-08-30T22:01:05;CANCELLED;IB Industrial Credit Card Account;6
7;2020-08-31T01:07:30;CANCELLED;Cotton Egyptian Pound;7
8;2020-08-30T10:03:34;COMPLETED;Home Loan Account;8
9;2020-08-30T18:57:50;COMPLETED;Human;9
10;2020-08-30T05:06:28;CANCELLED;payment;10
